2024-02-21 03:44:19.294798|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.7 (2022-06-20 12:21:53)
2024-02-21 03:44:19.294979|INFO    |ServerLibPriv |   |SystemInformation: Linux 5.15.0-91-generic #101-Ubuntu SMP Tue Nov 14 13:30:08 UTC 2023 x86_64 Binary: 64bit
2024-02-21 03:44:19.295001|INFO    |ServerLibPriv |   |Using hardware aes
2024-02-21 03:44:19.295661|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2024-02-21 03:44:19.295686|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2024-02-21 03:44:19.295934|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2024-02-21 03:44:19.316899|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2024-02-21 03:44:19.317102|INFO    |Accounting    |   |Licensing Information
2024-02-21 03:44:19.317137|INFO    |Accounting    |   |licensed to       : Anonymous
2024-02-21 03:44:19.317158|INFO    |Accounting    |   |type              : No License
2024-02-21 03:44:19.317178|INFO    |Accounting    |   |starting date     : Tue Feb  1 00:00:00 2022
2024-02-21 03:44:19.317192|INFO    |Accounting    |   |ending date       : Thu Jul  1 00:00:00 2027
2024-02-21 03:44:19.317202|INFO    |Accounting    |   |max virtualservers: 1
2024-02-21 03:44:19.317212|INFO    |Accounting    |   |max slots         : 32
2024-02-21 03:44:19.992295|INFO    |              |   |Puzzle precompute time: 653
2024-02-21 03:44:19.993426|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2024-02-21 03:44:19.996063|INFO    |Query         |   |Using a query thread pool size of 2
2024-02-21 03:44:20.026849|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2024-02-21 03:44:20.027258|INFO    |Query         |   |listening for ssh query on 0.0.0.0:10022, [::]:10022
2024-02-21 03:44:20.027393|INFO    |Query         |   |listening for http query on 0.0.0.0:10080, [::]:10080
2024-02-21 03:44:20.027480|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
