2024-02-21 22:13:38.265542|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:-218394945, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 16'(id:15)
2024-02-21 22:13:40.897506|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:-242172438, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 17'(id:16)
2024-02-21 22:13:43.753128|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:-218394945, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 18'(id:17)
2024-02-21 22:13:48.310933|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:-1732314449, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 18'(id:17)
2024-02-21 22:13:51.961683|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:1716397769, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 19'(id:18)
2024-02-21 22:13:54.281226|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:1748682426, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 20'(id:19)
2024-02-21 22:13:56.961156|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:-1397593836, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 21'(id:20)
2024-02-21 22:14:17.158578|INFO    |VirtualServer |1  |servergroup 'Ouro 1'(id:21) was added by 'nferdica'(id:3)
2024-02-21 22:14:20.849637|INFO    |VirtualServer |1  |servergroup 'Ouro 2'(id:22) was added by 'nferdica'(id:3)
2024-02-21 22:14:25.381700|INFO    |VirtualServer |1  |servergroup 'Ouro 3'(id:23) was added by 'nferdica'(id:3)
2024-02-21 22:14:33.817533|INFO    |VirtualServer |1  |servergroup 'Ouro 1'(id:21) was renamed to 'Gold 1' by 'nferdica'(id:3)
2024-02-21 22:14:36.557480|INFO    |VirtualServer |1  |servergroup 'Ouro 2'(id:22) was renamed to 'Gold 2' by 'nferdica'(id:3)
2024-02-21 22:14:38.597256|INFO    |VirtualServer |1  |servergroup 'Ouro 3'(id:23) was renamed to 'Gold 3' by 'nferdica'(id:3)
2024-02-21 22:14:47.238507|INFO    |VirtualServer |1  |servergroup 'Gold 4'(id:24) was added by 'nferdica'(id:3)
2024-02-21 22:15:01.397738|INFO    |VirtualServer |1  |servergroup 'AK 1'(id:25) was added by 'nferdica'(id:3)
2024-02-21 22:15:04.845791|INFO    |VirtualServer |1  |servergroup 'AK 2'(id:26) was added by 'nferdica'(id:3)
2024-02-21 22:15:08.597728|INFO    |VirtualServer |1  |servergroup 'AK X'(id:27) was added by 'nferdica'(id:3)
2024-02-21 22:15:26.552200|INFO    |VirtualServer |1  |servergroup 'SHERIFF'(id:28) was added by 'nferdica'(id:3)
2024-02-21 22:15:33.060226|INFO    |VirtualServer |1  |servergroup 'EAGLE 1'(id:29) was added by 'nferdica'(id:3)
2024-02-21 22:15:37.005516|INFO    |VirtualServer |1  |servergroup 'EAGLE 2'(id:30) was added by 'nferdica'(id:3)
2024-02-21 22:15:45.996256|INFO    |VirtualServer |1  |servergroup 'SUPREME'(id:31) was added by 'nferdica'(id:3)
2024-02-21 22:15:50.259849|INFO    |VirtualServer |1  |servergroup 'GLOBAL'(id:32) was added by 'nferdica'(id:3)
2024-02-21 22:15:52.479455|INFO    |VirtualServer |1  |servergroup 'Gold 1'(id:21) was renamed to 'GOLD 1' by 'nferdica'(id:3)
2024-02-21 22:15:54.575379|INFO    |VirtualServer |1  |servergroup 'Gold 2'(id:22) was renamed to 'GOLD 2' by 'nferdica'(id:3)
2024-02-21 22:15:56.803440|INFO    |VirtualServer |1  |servergroup 'Gold 3'(id:23) was renamed to 'GOLD 3' by 'nferdica'(id:3)
2024-02-21 22:15:58.807704|INFO    |VirtualServer |1  |servergroup 'Gold 4'(id:24) was renamed to 'GOLD 4' by 'nferdica'(id:3)
2024-02-21 22:16:11.923831|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:-1303132270, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GOLD 1'(id:21)
2024-02-21 22:16:16.087886|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:1772816370, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GOLD 2'(id:22)
2024-02-21 22:16:18.927578|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:-1650101980, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GOLD 3'(id:23)
2024-02-21 22:16:25.887707|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:767906090, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GOLD 4'(id:24)
2024-02-21 22:16:31.927600|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:-752585435, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'AK 1'(id:25)
2024-02-21 22:16:37.359801|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:1133371081, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'AK 2'(id:26)
2024-02-21 22:16:42.492158|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:300876613, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'AK X'(id:27)
2024-02-21 22:16:48.479674|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:-136741067, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'SHERIFF'(id:28)
2024-02-21 22:16:51.935656|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:649662650, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'EAGLE 1'(id:29)
2024-02-21 22:16:57.387654|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:-2078012651, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'EAGLE 2'(id:30)
2024-02-21 22:17:00.347812|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:1267293982, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'SUPREME'(id:31)
2024-02-21 22:17:05.283517|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:1002816104, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GLOBAL'(id:32)
2024-02-21 22:17:41.244432|INFO    |VirtualServer |1  |servergroup 'A'(id:33) was added by 'nferdica'(id:3)
2024-02-21 22:18:01.467970|INFO    |VirtualServer |1  |servergroup 'A'(id:33) was renamed to 'GC' by 'nferdica'(id:3)
2024-02-21 22:18:04.488021|INFO    |VirtualServer |1  |servergroup 'CS2'(id:34) was added by 'nferdica'(id:3)
2024-02-21 22:18:08.259957|INFO    |VirtualServer |1  |servergroup 'GC-PLUS'(id:35) was added by 'nferdica'(id:3)
2024-02-21 22:18:13.080927|INFO    |VirtualServer |1  |servergroup 'GC-PREMIUM'(id:36) was added by 'nferdica'(id:3)
2024-02-21 22:18:19.651715|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:-886354901, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC'(id:33)
2024-02-21 22:18:25.411828|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:913150114, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'CS2'(id:34)
2024-02-21 22:18:28.203909|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:176915920, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC-PLUS'(id:35)
2024-02-21 22:18:31.455906|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:1009159692, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC-PREMIUM'(id:36)
2024-02-21 22:18:57.316335|INFO    |VirtualServer |1  |servergroup '0K'(id:37) was added by 'nferdica'(id:3)
2024-02-21 22:19:00.534704|INFO    |VirtualServer |1  |servergroup '5K'(id:38) was added by 'nferdica'(id:3)
2024-02-21 22:19:03.974282|INFO    |VirtualServer |1  |servergroup '10K'(id:39) was added by 'nferdica'(id:3)
2024-02-21 22:19:06.962567|INFO    |VirtualServer |1  |servergroup '15K'(id:40) was added by 'nferdica'(id:3)
2024-02-21 22:19:10.390492|INFO    |VirtualServer |1  |servergroup '20K'(id:41) was added by 'nferdica'(id:3)
2024-02-21 22:19:13.538130|INFO    |VirtualServer |1  |servergroup '25K'(id:42) was added by 'nferdica'(id:3)
2024-02-21 22:19:16.426849|INFO    |VirtualServer |1  |servergroup '30K'(id:43) was added by 'nferdica'(id:3)
2024-02-21 22:19:21.649473|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:2015263532, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup '0K'(id:37)
2024-02-21 22:19:27.665625|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:955676099, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup '5K'(id:38)
2024-02-21 22:19:31.281572|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:-1473211681, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup '10K'(id:39)
2024-02-21 22:19:35.599951|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:-770256299, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup '15K'(id:40)
2024-02-21 22:19:39.127312|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:-1252768992, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup '20K'(id:41)
2024-02-21 22:19:45.399002|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:2087285546, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup '25K'(id:42)
2024-02-21 22:19:50.898925|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:1063156150, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup '30K'(id:43)
