2024-02-23 13:13:47.156648|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.7 (2022-06-20 12:21:53)
2024-02-23 13:13:47.157939|INFO    |ServerLibPriv |   |SystemInformation: Linux 5.15.0-94-generic #104-Ubuntu SMP Tue Jan 9 15:25:40 UTC 2024 x86_64 Binary: 64bit
2024-02-23 13:13:47.157957|INFO    |ServerLibPriv |   |Using hardware aes
2024-02-23 13:13:47.173886|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2024-02-23 13:13:47.173911|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2024-02-23 13:13:47.180936|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2024-02-23 13:13:47.419767|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2024-02-23 13:13:47.425141|INFO    |Accounting    |   |Licensing Information
2024-02-23 13:13:47.425171|INFO    |Accounting    |   |licensed to       : Anonymous
2024-02-23 13:13:47.425179|INFO    |Accounting    |   |type              : No License
2024-02-23 13:13:47.425188|INFO    |Accounting    |   |starting date     : Tue Feb  1 00:00:00 2022
2024-02-23 13:13:47.425194|INFO    |Accounting    |   |ending date       : Thu Jul  1 00:00:00 2027
2024-02-23 13:13:47.425200|INFO    |Accounting    |   |max virtualservers: 1
2024-02-23 13:13:47.425205|INFO    |Accounting    |   |max slots         : 32
2024-02-23 13:13:49.893527|INFO    |              |   |Puzzle precompute time: 2368
2024-02-23 13:13:49.894580|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2024-02-23 13:13:50.138601|INFO    |Query         |   |Using a query thread pool size of 2
2024-02-23 13:13:50.203178|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2024-02-23 13:13:50.206918|INFO    |Query         |   |listening for ssh query on 0.0.0.0:10022, [::]:10022
2024-02-23 13:13:50.206997|INFO    |Query         |   |listening for http query on 0.0.0.0:10080, [::]:10080
2024-02-23 13:13:50.209507|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
