2024-02-21 04:01:55.714052|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.7 (2022-06-20 12:21:53)
2024-02-21 04:01:55.714197|INFO    |ServerLibPriv |   |SystemInformation: Linux 5.15.0-91-generic #101-Ubuntu SMP Tue Nov 14 13:30:08 UTC 2023 x86_64 Binary: 64bit
2024-02-21 04:01:55.714219|INFO    |ServerLibPriv |   |Using hardware aes
2024-02-21 04:01:55.714777|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2024-02-21 04:01:55.714807|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2024-02-21 04:01:55.715212|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2024-02-21 04:01:55.733918|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2024-02-21 04:01:55.734037|INFO    |Accounting    |   |Licensing Information
2024-02-21 04:01:55.734050|INFO    |Accounting    |   |licensed to       : Anonymous
2024-02-21 04:01:55.734056|INFO    |Accounting    |   |type              : No License
2024-02-21 04:01:55.734066|INFO    |Accounting    |   |starting date     : Tue Feb  1 00:00:00 2022
2024-02-21 04:01:55.734073|INFO    |Accounting    |   |ending date       : Thu Jul  1 00:00:00 2027
2024-02-21 04:01:55.734079|INFO    |Accounting    |   |max virtualservers: 1
2024-02-21 04:01:55.734084|INFO    |Accounting    |   |max slots         : 32
2024-02-21 04:01:56.232635|INFO    |              |   |Puzzle precompute time: 481
2024-02-21 04:01:56.233224|ERROR   |FileManager   |   |bind failed on 0.0.0.0:30033; reason: Address already in use
2024-02-21 04:01:56.233290|ERROR   |FileManager   |   |bind failed on [::]:30033; reason: Address already in use
2024-02-21 04:01:56.233307|ERROR   |FileManager   |   |Could not bind filetransfer listen port on default addresses
2024-02-21 04:01:56.233315|CRITICAL|VirtualSvrMgr |   |Could not start file manager 258 no network port available
